class
Air Mancur Menari
Air Terjun Kali Pancur
Air Terjun Semirang
Air Terjun Sri Gethuk
Alun Alun Selatan Yogyakarta
Alun-Alun Kota Bandung
Amazing Art World
Atlantis Land Surabaya
Atlantis Water Adventure
Babakan Siliwangi City Forest Path Bandung
Balai Kota Surabaya
Bandros City Tour
Bangsal Pagelaran
Batununggal Indah Club
Bendung Lepen
Bentara Budaya Yogyakarta (BBY)
Brown Canyon
Bukit Bintang
Bukit Bintang Yogyakarta
Bukit Gantole Cililin
Bukit Jamur
Bukit Lintang Sewu
Bukit Moko
Bukit Panguk Kediwung
"Bukit Paralayang, Watugupit"
Bukit Wisata Pulepayung
Bumi Perkemahan Batu Kuda
Bumi Perkemahan Cibubur
Bunker Kaliadem Merapi
Candi Borobudur
Candi Gedong Songo
Candi Ijo
Candi Prambanan
Candi Ratu Boko
Caringin Tilu
Chingu Cafe Little Seoul
Ciputra Waterpark
Ciwangun Indah Camp Official
Curug Aseupan
Curug Batu Templek
Curug Bugbrug
Curug Cilengkrang
Curug Cimahi
Curug Cipanas
Curug Dago
Curug Luhur Waterfall
Curug Malela
Dago Dreampark
Danau Rawa Pening
De Mata Museum Jogja
Desa Wisata Gamplong
Desa Wisata Kelor
Desa Wisata Lembah Kalipancur
Desa Wisata Rumah Domes/Teletubbies
Desa Wisata Sungai Code Jogja Kota
Desa Wisata Tembi
Dunia Fantasi
Durian Gardens and Tourism Education Watu Simbar
Dusun Bambu
Ekowisata Mangrove Wonorejo
Embung Tambakboyo
Farm House Susu Lembang
Flower Farm Setiya Aji
Food Junction Grand Pakuwon
Freedom Library
GPIB Immanuel Semarang (Gereja Blenduk)
Galaxy Waterpark Jogja
Galeri Indonesia Kaya
Gedung Agung Yogyakarta
Gedung Sate
Gembira Loka Zoo
Geoforest Watu Payung Turunan
Gereja Katedral Santo Petrus Bandung
Gereja Perawan Maria Tak Berdosa Surabaya
Gereja Tiberias Indonesia Bandung
Glamping Lakeside Rancabali
Goa Cerme
Goa Jomblang
Goa Pindul
Goa Rancang Kencono
Goa Rong
Grand Indonesia Mall
Grand Maerakaca
Green Village Gedangsari
Grojogan Watu Purbo Bangunrejo
Gua Maria Kerep Ambarawa
Gua Pawon
Gumuk Pasir Parangkusumo
Gunung Lalakon
Gunung Manglayang
Gunung Papandayan
GunungTangkuban perahu
Happyfarm Ciwidey
Heha Sky View
House of Sampoerna
Hutan Bambu Keputih
Hutan Pinus Asri
Hutan Pinus Kayon
Hutan Pinus Pengger
Indonesia Kaya Park
Istana Negara Republik Indonesia
Jakarta Aquarium dan Safari
Jakarta Planetarium
Jalan Braga
Jembatan Biru Ambarawa
Jembatan Merah
Jembatan Pasupati
Jendela Alam
Jogja Bay Pirates Adventure Waterpark
Jurang Tembelan Kanigoro
Kampoeng Djadhoel Semarang
Kampoeng Kopi Banaran
Kampoeng Rawa
Kampoeng Tulip
Kampung Batu Malakasari
Kampung Cina
Kampung Korea Bandung
Kampung Pelangi
Kampung Tematik Jawi
Kampung Wisata Dipowinatan
Kampung Wisata Kadipaten
Kampung Wisata Rejowinangun
Kampung Wisata Sosro Menduran
Kampung Wisata Taman Sari
Kauman Pakualaman Yogyakarta
Kawah Putih
Kawah Rengganis Cibuni
Kawasan Kuliner BSM
Kawasan Malioboro
Kawasan Wisata Sosrowijayan
Kebun Bibit Wonorejo
Kebun Binatang Bandung
Kebun Binatang Ragunan
Kebun Binatang Surabaya
Kebun Tanaman Obat Sari Alam
Kenjeran Park
Keraton Surabaya
Keraton Yogyakarta
Kiara Artha Park
Kidzania
Klenteng Jin De Yuan
Klenteng Sanggar Agung
Kota Lama Semarang
Kota Mini
Kota Tua
Kyotoku Floating Market
La Kana Chapel
Lava Bantal
Lawang Sewu
Lawangwangi Creative Space
Ledok Sambi
Lembang Park & Zoo
Lereng Anteng Panoramic Coffee Place
Mall Thamrin City
Masjid Agung Ungaran
Masjid Daarut Tauhiid Bandung
Masjid Istiqlal
Masjid Kapal Semarang
Masjid Pusdai
Masjid Raya Bandung
Monumen Bambu Runcing Surabaya
Monumen Bandung Lautan Api
Monumen Jalesveva Jayamahe
Monumen Palagan Ambarawa
Monumen Perjuangan Rakyat Jawa Barat
